2025-10-10T23:16:50.923Z 🎯 Matched: Likkle Miss (ISRC, 142ms)
2025-10-10T23:16:50.935Z 🎯 Matched: Bandulu (ISRC, 200ms)
2025-10-10T23:16:50.936Z 🎯 Matched: Feel The Heat (ISRC, 196ms)
2025-10-10T23:16:50.937Z 🎯 Matched: Curves (ISRC, 193ms)
2025-10-10T23:16:50.938Z 🎯 Matched: Lifestyle Rich (ISRC, 192ms)
2025-10-10T23:16:50.939Z 🎯 Matched: Magic (ISRC, 208ms)
2025-10-10T23:16:50.940Z 🎯 Matched: Talibhan (ISRC, 200ms)
2025-10-10T23:16:50.942Z 🎯 Matched: Young (ISRC, 215ms)
2025-10-10T23:16:50.943Z 🎯 Matched: Ambala (ISRC, 194ms)
2025-10-10T23:16:50.944Z 🎯 Matched: Ready (ISRC, 196ms)
2025-10-10T23:16:50.945Z 🎯 Matched: Whap Whap (feat. F.S.) (ISRC, 197ms)
2025-10-10T23:16:50.946Z 🎯 Matched: Weh mi Duh (ISRC, 199ms)
2025-10-10T23:16:50.947Z 🎯 Matched: Wah Dat Fah (ISRC, 204ms)
2025-10-10T23:16:50.948Z 🎯 Matched: Real Badman (ISRC, 198ms)
2025-10-10T23:16:50.950Z 🎯 Matched: Duppy Know (ISRC, 196ms)
2025-10-10T23:16:50.951Z 🎯 Matched: Yaadie Fiesta (ISRC, 219ms)
2025-10-10T23:16:50.952Z ✅ Matched: Champion (ARTIST_ONLY, 784ms)
2025-10-10T23:16:50.953Z 🎯 Matched: Needle Eye (ISRC, 197ms)
2025-10-10T23:16:50.954Z 🎯 Matched: Bruk Fi Mi Back (ISRC, 205ms)
2025-10-10T23:16:50.955Z ✅ Matched: Walk & Wine (ARTIST_ONLY, 819ms)
2025-10-10T23:16:50.956Z 🎯 Matched: Money, Girls & Fun (ISRC, 200ms)
2025-10-10T23:16:50.957Z 🎯 Matched: Block & Delete (ISRC, 204ms)
2025-10-10T23:16:50.958Z 🎯 Matched: Tip Pon Yuh Toe (ISRC, 199ms)
2025-10-10T23:16:50.959Z 🎯 Matched: Broad Out (ISRC, 207ms)
2025-10-10T23:16:50.960Z 🎯 Matched: Wine Pon It (ISRC, 196ms)
2025-10-10T23:16:51.759Z 🎯 Matched: Pump Up (ISRC, 155ms)
2025-10-10T23:16:51.760Z 🎯 Matched: Gal a Get More (ISRC, 158ms)
2025-10-10T23:16:51.762Z 🎯 Matched: Duppy Know (ISRC, 15ms)
2025-10-10T23:16:51.763Z 🎯 Matched: Dumpa Truck - Raw (ISRC, 158ms)
2025-10-10T23:16:51.764Z 🎯 Matched: Ukku (ISRC, 166ms)
2025-10-10T23:16:51.764Z 🎯 Matched: Tell You Say - Raw (ISRC, 158ms)
2025-10-10T23:16:51.766Z 🎯 Matched: Hmm Hmm (ISRC, 162ms)
2025-10-10T23:16:51.766Z 🎯 Matched: Wine Pon Di Edge (ISRC, 162ms)
2025-10-10T23:16:51.767Z 🎯 Matched: Tun up the Fuck (ISRC, 162ms)
2025-10-10T23:16:51.768Z 🎯 Matched: Proper Touch (ISRC, 166ms)
2025-10-10T23:16:51.769Z 🎯 Matched: 123 (ISRC, 162ms)
2025-10-10T23:16:51.770Z 🎯 Matched: Wine - feat. O (ISRC, 168ms)
2025-10-10T23:16:51.771Z 🎯 Matched: When U Feel Lonely (ISRC, 163ms)
2025-10-10T23:16:51.772Z 🎯 Matched: Come Roun (ISRC, 166ms)
2025-10-10T23:16:51.773Z 🎯 Matched: I Am Blessed (ISRC, 161ms)
2025-10-10T23:16:51.774Z 🎯 Matched: Press Trigger (ISRC, 167ms)
2025-10-10T23:16:51.775Z 🎯 Matched: Gallis (ISRC, 169ms)
2025-10-10T23:16:51.776Z 🎯 Matched: Goodas Mi Back Mi Back (ISRC, 175ms)
2025-10-10T23:16:51.777Z ✅ Matched: I'm so special (METADATA, 484ms)
2025-10-10T23:16:51.778Z 🎯 Matched: It Bend Like Banana (ISRC, 169ms)
2025-10-10T23:16:51.779Z 🎯 Matched: Turn & Wine (Raw) (METADATA, 536ms)
2025-10-10T23:16:51.780Z ✅ Matched: Gal a Weh Do You (ARTIST_ONLY, 775ms)
2025-10-10T23:16:51.781Z ✅ Matched: Pon Di Thing (ARTIST_ONLY, 796ms)
2025-10-10T23:16:51.782Z 🎯 Matched: Love Dem (ISRC, 170ms)
2025-10-10T23:16:51.783Z 🎯 Matched: Bad From Mi Born (ISRC, 146ms)
2025-10-10T23:16:52.648Z 🎯 Matched: Bicycle (METADATA, 439ms)
2025-10-10T23:16:52.649Z 🎯 Matched: Weh Dem A Do (ISRC, 159ms)
2025-10-10T23:16:52.650Z 🎯 Matched: Ever Blessed (ISRC, 161ms)
2025-10-10T23:16:52.651Z 🎯 Matched: Bubble Like Soup (ISRC, 161ms)
2025-10-10T23:16:52.652Z 🎯 Matched: Stop Sign (ISRC, 157ms)
2025-10-10T23:16:52.653Z 🎯 Matched: Gal a Bubble (ISRC, 155ms)
2025-10-10T23:16:52.654Z 🎯 Matched: Dancehall Hero [Raw] (METADATA, 494ms)
2025-10-10T23:16:52.655Z 🎯 Matched: Nuh Linga (ISRC, 157ms)
2025-10-10T23:16:52.656Z 🎯 Matched: Dying (feat. Serani) (ISRC, 161ms)
2025-10-10T23:16:52.657Z 🎯 Matched: Do Sumn (ISRC, 161ms)
2025-10-10T23:16:52.658Z 🎯 Matched: Everything Fi Hold Him (ISRC, 161ms)
2025-10-10T23:16:52.659Z 🎯 Matched: Romance Me (ISRC, 165ms)
